Board,List,Card Name,Description,Labels,Due
PISCO,Today,SEND EMAIL TO JAVIER (NH MADRID),Send: "Javier, what staffing challenge keeps you up at night?" - This is the test. First email. See if approach lands.,🔴 Urgent,
PISCO,Today,SEND EMAIL TO LUIS (IBEROSTAR),Iberostar's €5.1B revenue + €1B investment. What's the staffing challenge?,🟡 Important,
PISCO,Today,SEND EMAIL TO YOLANDA (ROOM MATE),Room Mate expansion. Staffing is tight. Quick connection.,🟡 Important,
PISCO,Backlog,SET UP DUXSOUP CHROME EXTENSION,LinkedIn automation. Free tier. Install and configure.,🔵 Learning,
PISCO,Backlog,DEPLOY N8N ON RAILWAY,Connect tools. Free automation. Self-hosted.,🔵 Learning,
PISCO,Backlog,CREATE PISCO NOTION CRM,Track pipeline. Company, Contact, Stage, Last Contact, Next Action.,🔵 Learning,
PISCO,Backlog,BUILD CASE STUDY ONE-PAGER,Room Mate example. Turnover 40% to 8%. Create PDF.,🟢 Easy win,
PISCO,Backlog,RESEARCH UK NHS STAFFING,Spire, Ramsay, Circle Health. Find decision makers.,🔵 Learning,
PISCO,Backlog,RESEARCH AUSTRALIA PALM VISA,Understand PALM scheme. Who qualifies. How long.,🔵 Learning,
PISCO,Backlog,FIND 5 MORE DECISION MAKERS,Expand Spain list. Use LinkedIn Sales Nav.,🟢 Easy win,
PISCO,DONE,RESEARCH 252 HOTEL PROSPECTS,All Spain, UK, Australia targets identified.,🟢 Easy win,DONE
PISCO,DONE,BUILD INTELLIGENCE BIBLE,Full research on each chain. Money map. Warm paths.,🟢 Easy win,DONE
PISCO,DONE,WRITE 756 OUTREACH MESSAGES,All 3 touch sequences ready.,🟢 Easy win,DONE
PISCO,DONE,CALCULATE MONEY MAP,$193K true cost per 5 hires. Use in emails.,🟢 Easy win,DONE
PISCO,DONE,CREATE ROOM MATE CASE STUDY,8 positions, 19 days, 18 months no turnover.,🟢 Easy win,DONE
COMARE,Today,DECIDE ICP — GYMS OR PHARMACIES OR RESTAURANTS,Jordan needs to choose. Gyms are PRIMARY per historical evidence.,🔴 Urgent,
COMARE,Backlog,RESEARCH SMART FIT DECISION MAKERS,2,000 gyms, 80-100 openings in 2026. Find contacts.,🔵 Learning,
COMARE,Backlog,BUILD COMARE NOTION CRM,Track Mexico prospects.,🔵 Learning,
COMARE,Backlog,FIND 50 GYM PROSPECTS IN CDMX,Smart Fit, Celebration, CrossFit boxes.,🔵 Learning,
COMARE,Backlog,CREATE COMARE PITCH DECK,Simple. Problem, Solution, Pricing.,🟢 Easy win,
COMARE,Backlog,RESEARCH GRUPO ÁNGELES FLOODING,27 hospitals. Flooding incident = urgency angle.,🔵 Learning,
COMARE,Backlog,BUILD COMARE WEBSITE,Simple landing page. Wait until ICP decided.,⚪ Someday,
COMARE,DONE,RESEARCH 200 MEXICO PROSPECTS,All ICPs covered. Gyms, pharmacies, restaurants, medical.,🟢 Easy win,DONE
COMARE,DONE,BUILD INTELLIGENCE BIBLE,Company research done.,🟢 Easy win,DONE
COMARE,DONE,IDENTIFY GRUPO ÁNGELES AS HOT LEAD,Flooding incident = demonstrated maintenance failure.,🟢 Easy win,DONE
EGO DEATH POD,Today,SEND POD MESSAGE TO 5 PEOPLE,Use THE PEN approach. Ask instead of pitch.,🔴 Urgent,
EGO DEATH POD,Today,SET UP TELEGRAM GROUP,Create group, set description, post welcome message.,🟡 Important,
EGO DEATH POD,Today,SET UP PAYPAL.ME,Collect $47/month founding member payments.,🟡 Important,
EGO DEATH POD,Backlog,SET UP LEMONSQUEEZY,Accept cards online. 5% fee but fast.,🔵 Learning,
EGO DEATH POD,Backlog,CREATE POD LANDING PAGE,Notion page or simple site. Explain the Pod.,🟢 Easy win,
EGO DEATH POD,Backlog,DESIGN POD LOGO/BRAND,Simple. Memorable. Death + consciousness.,⚪ Someday,
EGO DEATH POD,Backlog,WRITE ONBOARDING EMAIL SEQUENCE,Day 0, 1, 3, 5, 7. Teach the protocol.,🔵 Learning,
EGO DEATH POD,Backlog,CREATE 7 DEATHS EXPLAINER CONTENT,Short video or doc. Show what dies each week.,🟢 Easy win,
EGO DEATH POD,Backlog,FIND 12 FOUNDING MEMBERS,Goal: $564/month recurring.,🔴 Urgent,
EGO DEATH POD,DONE,WRITE CONSCIOUSNESS-POD.MD,Framework, theory, 7 layers,🟢 Easy win,DONE
EGO DEATH POD,DONE,WRITE EGO-DEATH-POD-DEEP.MD,22,684 characters. Deepest thing ever written.,🟢 Easy win,DONE
EGO DEATH POD,DONE,WRITE POD-LAUNCH-KIT.MD,Landing page, 10 messages, onboarding, setup.,🟢 Easy win,DONE
EGO DEATH POD,DONE,WRITE 10 OUTREACH MESSAGES,Copy-paste ready.,🟢 Easy win,DONE
EGO DEATH POD,DONE,CREATE TELEGRAM SETUP GUIDE,Group name, pins, welcome message.,🟢 Easy win,DONE
PK MUSIC,Backlog,SET UP SUNO ACCOUNT,AI music generation. Free tier available.,🔵 Learning,
PK MUSIC,Backlog,GENERATE FIRST SONG "MEMENTO MORI",Trap, corridos, ambient, Afrobeats, Arabic versions.,🔵 Learning,
PK MUSIC,Backlog,SET UP DISTROKID,$19/month. Auto-upload to Spotify/Apple/Amazon.,🔵 Learning,
PK MUSIC,Backlog,UPLOAD FIRST SONG TO SPOTIFY,Get on streaming platforms.,🔵 Learning,
PK MUSIC,Backlog,DESIGN PK BRAND IDENTITY,Philosophical King. Memorable.,⚪ Someday,
PK MUSIC,Backlog,WRITE 10-SONG EP CONCEPT,"Memento Mori, The Cave, Wu Wei, Dia de los muertos, Ubuntu",🔵 Learning,
PK MUSIC,Backlog,CREATE ALBUM ART,Midjourney or Canva.,🟢 Easy win,
PK MUSIC,Backlog,BUILD PK YOUTUBE CHANNEL,Behind-the-scenes, lyric videos.,⚪ Someday,
PK MUSIC,Backlog,WRITE 50-SONG CATALOG,Full philosophical framework.,🟢 Easy win,DONE
PK MUSIC,DONE,WRITE PK-EXECUTIVE-REPORT.MD,Full 50-song plan. Themes, release schedule, monetization.,🟢 Easy win,DONE
PK MUSIC,DONE,IDENTIFY FIRST SONG,Memento Mori. 5 cultural versions.,🟢 Easy win,DONE
NEUROTECH,Backlog,FILM NEUROTECH VIDEO #1,Script ready. Film with phone.,🔵 Learning,
NEUROTECH,Backlog,EDIT NEUROTECH VIDEO #1,CapCut or Premiere.,🔵 Learning,
NEUROTECH,Backlog,UPLOAD TO YOUTUBE,Social Mobility channel.,🔵 Learning,
NEUROTECH,Backlog,BATCH FILM 10 VIDEOS,Film 10, edit later.,🔵 Learning,
NEUROTECH,Backlog,RESEARCH NEURALINK LATEST,Updates since last video.,🔵 Learning,
NEUROTECH,Backlog,RESEARCH BRYAN JOHNSON BLUEPRINT,Protocol, science, content angle.,🔵 Learning,
NEUROTECH,Backlog,BUILD CONTENT CALENDAR,10 videos planned.,🟢 Easy win,DONE
NEUROTECH,DONE,WRITE NEUROTECH VIDEO #1 SCRIPT,Ready to film.,🟢 Easy win,DONE
NEUROTECH,DONE,PLAN 10-VIDEO PIPELINE,Topics: Neuralink, Bryan Johnson, Sapolsky, Huberman.,🟢 Easy win,DONE
NEW BALI,Today,VERIFY NOMAD MEETUP,Confirm time and location.,🔴 Urgent,
NEW BALI,Today,ATTEND NOMAD MEETUP,Go. Test pitch on 1 person.,🟡 Important,
NEW BALI,Backlog,RESEARCH BOHOL COLIVING OPTIONS,Beach, Panglao. Affordable. Growing nomad scene.,🔵 Learning,
NEW BALI,Backlog,RESEARCH DUMAGUETE DIGITAL NOMAD SCENE,University town. Cheap. chill.,🔵 Learning,
